Gene_ID,TG_D14,TG_D0,log2FoldChange,pvalue,padj,GeneName,Chrom,Strand,Start,End,GeneLength,GeneType,GeneDescription,TG_D14_1_readcount,TG_D14_2_readcount,TG_D14_3_readcount,TG_D0_1_readcount,TG_D0_2_readcount,TG_D0_3_readcount,TG_D14_1_fpkm,TG_D14_2_fpkm,TG_D14_3_fpkm,TG_D0_1_fpkm,TG_D0_2_fpkm,TG_D0_3_fpkm
ENSMUSG00000032109,126.5437251,383.4756096,-1.392,5.71E-11,6.22E-09,Nlrx1,chr9,-,44252713,44268599,3685,protein_coding,NLR_family_member_X1,150,139,106,448,353,301,2.084769541,1.94936172,1.684438037,6.734878298,4.621868124,3.709169857
ENSMUSG00000025478,56.41390783,171.6563131,-1.3919,1.24E-10,1.20E-08,Dpysl4,chr7,+,139086001,139102704,4196,protein_coding,dihydropyrimidinase-like_4,60,58,56,169,175,157,0.732352313,0.714344392,0.781518412,2.23121004,2.012254492,1.699072424
ENSMUSG00000101941,21.33714658,79.27444678,-1.3874,8.67E-07,2.97E-05,RP23-464K22.1,chr9,+,101342194,101348017,1540,lincRNA,predicted_gene_28979,13,27,25,58,81,97,0.432341493,0.906062526,0.950617828,2.086394855,2.537725446,2.860215342
ENSMUSG00000038403,1494.791037,4265.665477,-1.3844,7.23E-15,1.88E-12,Hfe2,chr3,+,96525185,96529216,2021,protein_coding,hemochromatosis_type_2_(juvenile)_(human_homolog),1311,1647,1622,4612,3733,3994,33.22313911,42.11554364,46.99711547,126.4189607,89.11935051,89.7407026
ENSMUSG00000030089,220.6428847,689.3987498,-1.3762,4.49E-09,3.02E-07,Slc41a3,chr6,+,90604725,90646412,2412,protein_coding,solute_carrier_family_41_member_3,223,260,202,915,601,439,4.735129338,5.570717944,4.904115983,21.01517549,12.02202163,8.264849224
ENSMUSG00000031111,62.2995455,202.1146102,-1.3589,8.88E-08,4.17E-06,Igsf1,chrX,-,49782536,49797749,4421,protein_coding,immunoglobulin_superfamily_member_1,41,87,64,228,159,195,0.474971584,1.016983398,0.847707696,2.85695607,1.735229594,2.002911752
ENSMUSG00000031958,268.4728569,716.3152577,-1.3426,2.54E-21,1.86E-18,Ldhd,chr8,-,111623785,111630374,4102,protein_coding,lactate_dehydrogenase_D,299,278,254,656,730,716,3.733187635,3.502388073,3.625974348,8.859259313,8.586329301,7.92620106
ENSMUSG00000043085,241.7161177,660.7836288,-1.3425,2.09E-15,6.33E-13,Tmem82,chr4,-,141613376,141618633,2898,protein_coding,transmembrane_protein_82,275,234,237,501,632,829,4.860026073,4.172848348,4.78890952,9.576979884,10.52201783,12.98984197
ENSMUSG00000044951,1116.989141,3015.029055,-1.3388,2.54E-17,1.11E-14,Mylk4,chr13,-,32700827,32783954,5641,protein_coding,myosin_light_chain_kinase_family_member_4,1234,1169,1055,2129,2867,3992,11.20374837,10.70960706,10.95173752,20.90782191,24.52177649,32.13528466
ENSMUSG00000026407,53.03021264,164.6455122,-1.3342,7.88E-08,3.77E-06,Cacna1s,chr1,+,136052750,136119822,6251,protein_coding,calcium_channel_voltage-dependent_L_type_alpha_1S_subunit,37,55,68,158,149,174,0.303149259,0.45470352,0.637009751,1.400221747,1.150051016,1.264001146
ENSMUSG00000032942,456.9369865,1220.702532,-1.3254,4.31E-17,1.82E-14,Ucp3,chr7,+,100472990,100486432,2448,protein_coding,uncoupling_protein_3_(mitochondrial_proton_carrier),474,539,408,897,1164,1570,9.916792238,11.37869554,9.759676363,20.29879511,22.94150491,29.12298975
ENSMUSG00000039474,627.2873485,1720.552541,-1.3242,4.50E-13,7.75E-11,Wfs1,chr5,-,36966104,36988982,3564,protein_coding,Wolfram_syndrome_1_homolog_(human),627,634,664,1916,1425,1621,9.010193792,9.193199566,10.90980657,29.78153236,19.29112279,20.65347046
ENSMUSG00000053329,2639.467376,7062.727476,-1.3229,2.11E-16,7.71E-14,D10Jhu81e,chr10,-,78162067,78169768,1363,protein_coding,DNA_segment_Chr_10_Johns_Hopkins_University_81_expressed,2990,2537,2613,7543,6206,6703,112.3516924,96.19217325,112.2613397,306.5755262,219.6828994,223.3166385
ENSMUSG00000029372,6.452047796,32.44959623,-1.3177,2.79E-05,0.00057499,Ppbp,chr5,+,90768518,90770060,1080,protein_coding,pro-platelet_basic_protein,7,7,6,23,42,32,0.331954508,0.334957271,0.325322545,1.179759032,1.876315522,1.34546976
ENSMUSG00000032199,1206.988317,3130.971691,-1.3168,1.73E-24,1.86E-21,Polr2m,chr9,-,71478437,71485935,2200,protein_coding,polymerase_(RNA)_II_(DNA_directed)_polypeptide_M,1288,1248,1189,2980,3123,3057,29.98454539,29.3161564,31.64796871,75.03827015,68.49039009,63.09870938
ENSMUSG00000046603,266.7669209,698.6962539,-1.3153,4.06E-20,2.70E-17,Tcaim,chr9,+,122805539,122836334,3049,protein_coding,T_cell_activation_inhibitor_mitochondrial,319,272,238,584,705,774,5.358429796,4.610272596,4.570947145,10.61071509,11.15609051,11.52739711
ENSMUSG00000027332,2464.700682,6437.624715,-1.3145,7.82E-21,5.46E-18,Ivd,chr2,+,118861954,118882909,3665,protein_coding,isovaleryl_coenzyme_A_dehydrogenase,3192,2292,2177,5092,6667,7320,44.60599077,32.31883964,34.78332678,76.96683827,87.76812337,90.6953081
ENSMUSG00000021868,1351.791509,3492.395611,-1.3106,4.95E-24,4.61E-21,Ppif,chr14,+,25694154,25700468,3637,protein_coding,peptidylprolyl_isomerase_F_(cyclophilin_F),1397,1441,1334,3223,3262,3750,19.67240205,20.47556079,21.47826495,49.09149239,43.27339729,46.82046095
ENSMUSG00000000948,392.5573229,1024.662649,-1.3055,1.47E-18,7.91E-16,Snrpn,chr7,-,59974149,60140219,3937,protein_coding,small_nuclear_ribonucleoprotein_N,430,383,396,976,999,1022,5.593805057,5.027458387,5.890015504,13.73325972,12.24279027,11.78781196
ENSMUSG00000022110,3923.3987,10033.72334,-1.2988,1.59E-24,1.85E-21,Sucla2,chr14,+,73525319,73596142,2229,protein_coding,succinate-Coenzyme_A_ligase_ADP-forming_beta_subunit,4692,3700,3740,8686,10009,10859,107.8083059,85.78409639,98.25353862,215.8733281,216.6511293,221.2215765
ENSMUSG00000022215,610.9471411,1647.982389,-1.2968,3.70E-12,5.17E-10,Fitm1,chr14,+,55575617,55576952,969,protein_coding,fat_storage-inducing_transmembrane_protein_1,593,590,683,1751,1321,1699,31.34261318,31.46613198,41.27466846,100.1040387,65.77477587,79.61911029
ENSMUSG00000026605,135.7593405,371.772786,-1.2913,2.23E-10,2.02E-08,Cenpf,chr1,-,189640599,189688086,11137,protein_coding,centromere_protein_F,121,138,155,270,488,352,0.556443966,0.640362648,0.814985994,1.343027097,2.114131215,1.435232176
ENSMUSG00000025537,109.7583443,301.8500758,-1.2912,1.36E-10,1.31E-08,Phkg1,chr5,-,129863421,129898549,2374,protein_coding,phosphorylase_kinase_gamma_1,154,120,73,246,355,293,3.322341665,2.612255527,1.800647956,5.740419393,7.214861105,5.604470972
ENSMUSG00000018796,4025.51153,10247.64616,-1.2895,3.50E-23,2.71E-20,Acsl1,chr8,+,46471041,46536051,5632,protein_coding,acyl-CoA_synthetase_long-chain_family_member_1,5039,3885,3584,9490,10519,10040,45.82326166,35.64868402,37.26421884,93.34537328,90.11397461,80.95036011
ENSMUSG00000034175,187.4339854,492.9171324,-1.2888,2.02E-14,4.63E-12,Rhbdd3,chr11,+,5098926,5106093,2333,protein_coding,rhomboid_domain_containing_3,225,183,173,479,460,500,4.939375756,4.053698799,4.342282068,11.3739157,9.513129949,9.732019802
ENSMUSG00000022546,280.6491736,772.5006747,-1.2849,5.67E-10,4.49E-08,Gpt,chr15,+,76696764,76699674,1749,protein_coding,glutamic_pyruvic_transaminase_soluble,365,228,273,861,613,753,10.68826816,6.736900962,9.140280093,27.27109476,16.91028789,19.55027565
ENSMUSG00000097644,1.585830048,21.07393247,-1.2834,4.37E-05,0.00082671,Gm26862,chr7,+,93006982,93104789,2191,lincRNA,predicted_gene_26862,4,0,1,19,25,18,0.093502215,0,0.026726635,0.480397185,0.550526169,0.373059278
ENSMUSG00000050821,173.3629924,463.1294746,-1.2786,1.17E-11,1.49E-09,Fam131a,chr16,+,20693282,20703048,2432,protein_coding,family_with_sequence_similarity_131_member_A,185,199,155,473,364,508,3.895941654,4.228678145,3.732113083,10.77424385,7.221345922,9.485229865
ENSMUSG00000025791,1351.998085,3475.588433,-1.2758,2.15E-16,7.71E-14,Pgm2,chr4,+,99929414,99987294,2523,protein_coding,phosphoglucomutase_2,1560,1335,1287,3651,3111,3318,31.6673436,27.34507637,29.87087629,80.16481837,59.49262023,59.71821933
ENSMUSG00000055809,66.0380261,181.371461,-1.2612,8.67E-09,5.24E-07,Dnaaf3,chr7,-,4522933,4532453,2224,protein_coding,dynein_axonemal_assembly_factor_3,58,71,73,174,169,187,1.33566485,1.649828081,1.922094536,4.334147586,3.666335956,3.818163679
ENSMUSG00000071540,849.2573651,2141.831992,-1.2534,2.71E-16,9.47E-14,3425401B19Rik,chr14,-,32659119,32685272,5547,protein_coding,RIKEN_cDNA_3425401B19_gene,715,1013,884,1888,2219,2196,6.601644935,9.437705144,9.332129697,18.85528297,19.30098498,17.9771933
ENSMUSG00000050705,533.6031302,1358.477232,-1.2506,3.22E-14,7.02E-12,2310061I04Rik,chr17,-,35892677,35897431,2081,protein_coding,RIKEN_cDNA_2310061I04_gene,669,509,479,1384,1184,1381,16.46487068,12.6404003,13.47876495,36.8428519,27.45111306,30.13486962
ENSMUSG00000041193,348.5907032,881.7177669,-1.2501,4.56E-15,1.27E-12,Pla2g5,chr4,-,138799244,138863482,2289,protein_coding,phospholipase_A2_group_V,301,423,351,804,931,854,6.734804437,9.550139163,8.979413901,19.45805768,19.62385041,16.94180959
ENSMUSG00000038059,54.51008722,154.3547323,-1.2444,1.37E-07,6.08E-06,Smim3,chr18,-,60474193,60501983,1984,protein_coding,small_integral_membrane_protein_3,70,69,34,157,144,148,1.807010427,1.797308169,1.00351511,4.383764497,3.501879199,3.387410005
ENSMUSG00000037826,633.6498987,1580.118871,-1.2438,5.26E-17,2.16E-14,Ppm1k,chr6,-,57506502,57535426,5560,protein_coding,protein_phosphatase_1K_(PP2C_domain_containing),719,647,596,1085,1911,1732,6.623055361,6.013739539,6.277086812,10.81046007,16.58311956,14.1455818
ENSMUSG00000099624,6.289897187,30.20567705,-1.233,9.90E-05,0.0015996,RP24-171A4.1,chr1,+,93975353,93985816,958,pseudogene,predicted_gene_7889,4,7,8,22,33,35,0.213844837,0.377613625,0.489002574,1.272173668,1.661991381,1.659014774
ENSMUSG00000050640,6.228634352,29.58897514,-1.2327,9.71E-05,0.001576,Tmem150c,chr5,-,100077872,100159808,3084,protein_coding,transmembrane_protein_150C,7,5,7,26,27,34,0.11624866,0.083785866,0.13291388,0.467033689,0.422405662,0.500624692
ENSMUSG00000022594,1987.521209,4940.324785,-1.2325,9.34E-16,3.03E-13,Lynx1,chr15,-,74747852,74753046,4023,protein_coding,Ly6/neurotoxin_1,2007,2292,1861,5260,4467,4586,25.55063079,29.44284049,27.08837839,72.43107686,53.5730357,51.76446576
ENSMUSG00000040118,706.2469853,1714.574275,-1.2178,9.64E-19,5.38E-16,Cacna2d1,chr5,+,15934691,16374511,7472,protein_coding,calcium_channel_voltage-dependent_alpha2/delta_subunit_1,761,780,650,1221,1869,2025,5.216174119,5.394769144,5.094049493,9.05248953,12.06848554,12.30653759
ENSMUSG00000030613,136.6189172,340.5867787,-1.2174,1.62E-12,2.55E-10,Ccdc90b,chr7,+,92561149,92582294,1596,protein_coding,coiled-coil_domain_containing_90B,147,132,141,282,373,352,4.717248273,4.274213085,5.173362283,9.788258986,11.27603152,10.01515084
ENSMUSG00000086863,342.382607,884.6717702,-1.2164,1.36E-09,1.01E-07,Gm15543,chr6,+,145182275,145187630,361,antisense,predicted_gene_15543,396,317,342,1037,717,785,56.18136289,45.38028152,55.47605512,159.1331959,95.82797041,98.74387659
ENSMUSG00000038319,1051.262392,2511.633013,-1.2113,1.08E-24,1.37E-21,Kcnh2,chr5,-,24319589,24351604,4221,protein_coding,potassium_voltage-gated_channel_subfamily_H_(eag-related)_member_2,1270,1135,877,2148,2779,2484,15.40964576,13.89618652,12.16664701,28.190849,31.76534167,26.72292284
ENSMUSG00000003476,245.4568867,623.7022216,-1.2016,8.25E-10,6.37E-08,Crhr2,chr6,-,55090049,55133016,2924,protein_coding,corticotropin_releasing_hormone_receptor_2,247,305,213,716,564,515,4.326372122,5.390606076,4.265686181,13.56515887,9.306407649,7.997929639
ENSMUSG00000026011,12.1156309,51.0338669,-1.1925,0.00014774,0.0022222,Ctla4,chr1,+,60887000,60915832,1933,protein_coding,cytotoxic_T-lymphocyte-associated_protein_4,5,23,10,26,70,59,0.132477595,0.614909365,0.302938739,0.745127727,1.747215695,1.386014826
ENSMUSG00000074093,232.9300506,563.8878983,-1.192,5.77E-14,1.20E-11,Svip,chr7,-,51997165,52006018,3059,protein_coding,small_VCP/p97-interacting_protein,282,235,207,432,685,560,4.721433942,3.970118874,3.962575365,7.823363334,10.80417054,8.312971056
ENSMUSG00000032601,343.4363405,829.1361388,-1.1909,7.29E-15,1.88E-12,Prkar2a,chr9,+,108692143,108749512,4041,protein_coding,protein_kinase_cAMP_dependent_regulatory_type_II_alpha,388,410,277,822,821,775,4.917531625,5.243365494,4.014002008,11.26865798,9.802450164,8.708845188
ENSMUSG00000057606,32.09737995,106.6487767,-1.19,5.00E-05,0.00092544,Colq,chr14,-,31523082,31591343,2867,protein_coding,collagen-like_tail_subunit_(single_strand_of_homotrimer)_of_asymmetric_acetylcholinesterase,33,49,20,150,74,76,0.589509127,0.883249728,0.408497092,2.898363131,1.24532975,1.203742565
ENSMUSG00000064225,618.0235019,1438.961593,-1.1764,1.84E-23,1.51E-20,Paqr9,chr9,+,95559657,95568023,8367,protein_coding,progestin_and_adipoQ_receptor_family_member_IX,682,661,573,1275,1488,1470,4.174638674,4.082693862,4.010250668,8.441694792,8.580517839,7.978023002
ENSMUSG00000029862,38.72537642,107.8449117,-1.1758,3.97E-06,0.00010903,Clcn1,chr6,+,42286685,42315756,3545,protein_coding,chloride_channel_1,46,53,24,73,133,117,0.664577875,0.772635672,0.396443835,1.140764115,1.81015489,1.498709087
ENSMUSG00000026248,351.8305365,841.4504292,-1.1644,5.46E-12,7.40E-10,Mrpl44,chr1,+,79776018,79781445,1424,protein_coding,mitochondrial_ribosomal_protein_L44,353,336,387,787,763,913,12.69606106,12.1939501,15.91430373,30.61638944,25.85204392,29.11444439
ENSMUSG00000099411,7.647714436,31.45461494,-1.1632,0.00021999,0.003077,RP23-402A16.1,chr16,-,13514131,13521107,2917,lincRNA,RIKEN_cDNA_2310015D24_gene,7,6,10,30,31,31,0.122903966,0.106299188,0.200747543,0.569736517,0.51274992,0.482584071
ENSMUSG00000021913,716.8976195,2267.456991,-1.1551,8.11E-05,0.0013677,Ogdhl,chr14,+,32322019,32347820,3449,protein_coding,oxoglutarate_dehydrogenase-like,833,680,700,2611,1237,2655,12.36961246,10.18898314,11.88479,41.93753577,17.3044118,34.95578419
ENSMUSG00000053886,75.17876272,213.4451751,-1.1481,2.10E-05,0.00045578,Sh2d4a,chr8,+,68276567,68347694,2718,protein_coding,SH2_domain_containing_4A,83,85,66,307,154,138,1.563986235,1.616160911,1.421939603,6.257172869,2.733704734,2.305564903
ENSMUSG00000064179,155.3734546,366.4917426,-1.1463,3.42E-12,4.92E-10,Tnnt1,chr7,-,4504570,4516382,1059,protein_coding,troponin_T1_skeletal_slow,186,169,130,338,377,360,8.995416375,8.247187529,7.188430182,17.6811281,17.17614614,15.43669271
ENSMUSG00000009210,31.32696027,86.05481998,-1.146,1.35E-05,0.00031861,2310007L24Rik,chr11,+,106365472,106377558,1141,protein_coding,RIKEN_cDNA_2310007L24_gene,26,31,38,72,84,98,1.167056791,1.404077807,1.950224549,3.495715518,3.55200835,3.90021142
ENSMUSG00000000738,963.875833,2232.417427,-1.1455,2.51E-15,7.47E-13,Spg7,chr8,+,123062942,123097760,3385,protein_coding,spastic_paraplegia_7_homolog_(human),1103,973,908,2213,1999,2293,16.6886469,14.85488495,15.707745,36.21695816,28.4927559,30.76047943
ENSMUSG00000030802,675.3640952,1544.633827,-1.1426,6.21E-19,3.61E-16,Bckdk,chr7,+,127904082,127909664,2848,protein_coding,branched_chain_ketoacid_dehydrogenase_kinase,816,677,605,1396,1576,1565,14.67420089,12.2846789,12.43947514,27.15405315,26.69909647,24.95296028
ENSMUSG00000073535,416.2626392,986.5635868,-1.1355,4.13E-10,3.41E-08,Gm5532,chr1,-,155520173,155527111,1751,lincRNA,predicted_gene_5532,485,344,446,837,874,1196,14.1859975,10.15283719,14.9154163,26.48064398,24.0827248,31.01649735
ENSMUSG00000001983,225.5841633,537.7244561,-1.1348,9.18E-10,7.04E-08,Taco1,chr11,+,106066061,106073612,1383,protein_coding,translational_activator_of_mitochondrially_encoded_cytochrome_c_oxidase_I,226,266,208,588,513,454,8.369327171,9.939729872,8.806996458,23.55289936,17.89680563,14.90669588
ENSMUSG00000038583,37541.33468,86360.77787,-1.1335,1.76E-14,4.09E-12,Pln,chr10,+,53337686,53345999,2480,protein_coding,phospholamban,38327,38450,38682,58319,100922,99302,791.5118702,801.2347723,913.3640348,1302.709614,1963.425848,1818.251829
ENSMUSG00000030996,1566.393378,3573.442165,-1.1327,9.30E-17,3.61E-14,Art1,chr7,+,102101743,102111148,1417,protein_coding,ADP-ribosyltransferase_1,1630,1792,1439,3487,3186,3752,58.91447889,65.35567139,59.46721646,136.3236883,108.4816439,120.2377104
ENSMUSG00000034245,139.5679267,331.6257249,-1.1282,2.00E-09,1.44E-07,Hdac11,chr6,+,91156665,91174692,2653,protein_coding,histone_deacetylase_11,140,159,133,318,383,270,2.702682765,3.097241001,2.935628246,6.640168506,6.965332619,4.621407157
ENSMUSG00000039137,483.030566,1097.874464,-1.1229,4.55E-15,1.27E-12,Whrn,chr4,-,63414910,63495991,4049,protein_coding,whirlin,493,497,496,966,1050,1213,6.235961553,6.343423947,7.173325971,13.21656451,12.51185949,13.60381579
ENSMUSG00000027861,6735.248395,15450.45474,-1.1195,1.28E-12,2.08E-10,Casq2,chr3,+,102086415,102146514,2556,protein_coding,calsequestrin_2,6607,7602,6596,16679,14167,13869,132.3877325,153.7029281,151.1146134,361.4917495,267.4221529,246.3950717
ENSMUSG00000028607,1766.084117,4010.526565,-1.1162,4.12E-14,8.86E-12,Cpt2,chr4,-,107903981,107923610,2372,protein_coding,carnitine_palmitoyltransferase_2,1887,1712,1829,3924,3665,4111,40.74379724,37.29960228,45.15290405,91.64389614,74.5486238,78.70104708
ENSMUSG00000049287,194.1227065,457.9998239,-1.1157,4.81E-09,3.20E-07,Iba57,chr11,-,59155369,59163739,4021,protein_coding,IBA57_iron-sulfur_cluster_assembly_homolog_(S._cerevisiae),184,212,201,493,427,406,2.343624537,2.724688842,2.927174756,6.792068803,5.123587274,4.585003577
ENSMUSG00000039763,244.5273322,559.2783665,-1.1122,3.67E-12,5.17E-10,Dnajc28,chr16,-,91614257,91619026,3535,protein_coding,DnaJ_(Hsp40)_homolog_subfamily_C_member_28,287,245,226,547,564,522,4.158117573,3.581721316,3.74374007,8.572098222,7.697860245,6.705463506
ENSMUSG00000037904,491.9060456,1139.614274,-1.111,2.99E-10,2.57E-08,Ankrd9,chr12,-,110975353,110979040,2577,protein_coding,ankyrin_repeat_domain_9,641,414,466,1096,1002,1230,12.73936842,8.302350193,10.58907843,23.56054683,18.76003479,21.67396717
ENSMUSG00000044033,963.9769264,2158.288099,-1.1095,1.46E-16,5.52E-14,Ccdc141,chr2,-,77009902,77170636,8969,protein_coding,coiled-coil_domain_containing_141,947,1138,903,1591,2538,2302,5.40767075,6.5571235,5.895632349,9.826873967,13.65299497,11.6549124
ENSMUSG00000084929,45.63993077,131.7270571,-1.1084,9.22E-05,0.0015217,Foxo6os,chr4,+,120291350,120303892,2291,antisense,forkhead_box_O6_opposite_strand,23,82,38,143,119,119,0.514170355,1.84971104,0.971281628,3.457802458,2.506121998,2.358683074
ENSMUSG00000066279,33.29198575,85.8414842,-1.1063,1.04E-05,0.00025426,Chrna10,chr7,-,102111266,102116713,2513,protein_coding,cholinergic_receptor_nicotinic_alpha_polypeptide_10,32,39,32,66,95,94,0.65217144,0.802023777,0.745665683,1.454925238,1.823943802,1.698568569
ENSMUSG00000038216,4.353528669,22.60280973,-1.1034,0.00054133,0.0064197,Pnmt,chr11,+,98386450,98388181,1154,protein_coding,phenylethanolamine-N-methyltransferase,5,2,6,18,25,24,0.221905712,0.089565203,0.304461308,0.864083927,1.045236426,0.944393852
ENSMUSG00000021666,364.1491279,820.318771,-1.1013,1.80E-13,3.40E-11,Gfm2,chr13,+,97137937,97181195,4416,protein_coding,G_elongation_factor_mitochondrial_2,444,395,299,774,760,866,5.149418534,4.622566379,3.964868522,9.709595249,8.303570243,8.90505376
ENSMUSG00000029685,357.916773,843.236941,-1.1001,4.28E-08,2.19E-06,Asb15,chr6,+,24528144,24573164,4371,protein_coding,ankyrin_repeat_and_SOCS_box-containing_15,383,386,339,444,1049,1062,4.487683849,4.563747663,4.541565253,5.627187602,11.57910569,11.03294438
ENSMUSG00000048920,378.6452945,847.9501732,-1.0982,4.56E-14,9.65E-12,Fkrp,chr7,-,16809270,16816732,2803,protein_coding,fukutin_related_protein,395,432,348,831,836,808,7.217358604,7.964816497,7.270140651,16.42355452,14.39009019,13.08988953
ENSMUSG00000000088,2674.510648,6175.143641,-1.0981,1.92E-09,1.40E-07,Cox5a,chr9,+,57521232,57532424,690,protein_coding,cytochrome_c_oxidase_subunit_Va,2984,2449,2782,6982,5054,5747,221.4899446,183.4234339,236.0993012,560.5572633,353.3999496,378.2159369
